 i_day:      67 model_year:   1; julianday:  68; dVV(k_bbl_sed):0.204E-08; w_sed_bl(cm/yr):0.343E+00; w_sed_inj(cm/yr):0.343E+00;sink_of_POML:0.224E-01
 i_day:      68 model_year:   1; julianday:  69; dVV(k_bbl_sed):0.204E-08; w_sed_bl(cm/yr):0.343E+00; w_sed_inj(cm/yr):0.343E+00;sink_of_POML:0.224E-01
 i_day:      69 model_year:   1; julianday:  70; dVV(k_bbl_sed):0.203E-08; w_sed_bl(cm/yr):0.343E+00; w_sed_inj(cm/yr):0.343E+00;sink_of_POML:0.224E-01
 i_day:      70 model_year:   1; julianday:  71; dVV(k_bbl_sed):0.203E-08; w_sed_bl(cm/yr):0.343E+00; w_sed_inj(cm/yr):0.343E+00;sink_of_POML:0.224E-01
 i_day:      71 model_year:   1; julianday:  72; dVV(k_bbl_sed):0.203E-08; w_sed_bl(cm/yr):0.342E+00; w_sed_inj(cm/yr):0.342E+00;sink_of_POML:0.224E-01
 i_day:      72 model_year:   1; julianday:  73; dVV(k_bbl_sed):0.203E-08; w_sed_bl(cm/yr):0.342E+00; w_sed_inj(cm/yr):0.342E+00;sink_of_POML:0.224E-01
 i_day:      73 model_year:   1; julianday:  74; dVV(k_bbl_sed):0.203E-08; w_sed_bl(cm/yr):0.342E+00; w_sed_inj(cm/yr):0.342E+00;sink_of_POML:0.224E-01
 i_day:      74 model_year:   1; julianday:  75; dVV(k_bbl_sed):0.203E-08; w_sed_bl(cm/yr):0.342E+00; w_sed_inj(cm/yr):0.342E+00;sink_of_POML:0.224E-01
 i_day:      75 model_year:   1; julianday:  76; dVV(k_bbl_sed):0.203E-08; w_sed_bl(cm/yr):0.342E+00; w_sed_inj(cm/yr):0.342E+00;sink_of_POML:0.224E-01
 i_day:      76 model_year:   1; julianday:  77; dVV(k_bbl_sed):0.203E-08; w_sed_bl(cm/yr):0.342E+00; w_sed_inj(cm/yr):0.342E+00;sink_of_POML:0.223E-01
 i_day:      77 model_year:   1; julianday:  78; dVV(k_bbl_sed):0.203E-08; w_sed_bl(cm/yr):0.342E+00; w_sed_inj(cm/yr):0.342E+00;sink_of_POML:0.223E-01
 i_day:      78 model_year:   1; julianday:  79; dVV(k_bbl_sed):0.203E-08; w_sed_bl(cm/yr):0.342E+00; w_sed_inj(cm/yr):0.342E+00;sink_of_POML:0.223E-01
 i_day:      79 model_year:   1; julianday:  80; dVV(k_bbl_sed):0.203E-08; w_sed_bl(cm/yr):0.342E+00; w_sed_inj(cm/yr):0.342E+00;sink_of_POML:0.223E-01
 i_day:      80 model_year:   1; julianday:  81; dVV(k_bbl_sed):0.203E-08; w_sed_bl(cm/yr):0.342E+00; w_sed_inj(cm/yr):0.342E+00;sink_of_POML:0.222E-01
 i_day:      81 model_year:   1; julianday:  82; dVV(k_bbl_sed):0.203E-08; w_sed_bl(cm/yr):0.342E+00; w_sed_inj(cm/yr):0.342E+00;sink_of_POML:0.222E-01
 i_day:      82 model_year:   1; julianday:  83; dVV(k_bbl_sed):0.203E-08; w_sed_bl(cm/yr):0.342E+00; w_sed_inj(cm/yr):0.342E+00;sink_of_POML:0.222E-01
 i_day:      83 model_year:   1; julianday:  84; dVV(k_bbl_sed):0.203E-08; w_sed_bl(cm/yr):0.342E+00; w_sed_inj(cm/yr):0.342E+00;sink_of_POML:0.223E-01
 i_day:      84 model_year:   1; julianday:  85; dVV(k_bbl_sed):0.203E-08; w_sed_bl(cm/yr):0.341E+00; w_sed_inj(cm/yr):0.341E+00;sink_of_POML:0.223E-01
 i_day:      85 model_year:   1; julianday:  86; dVV(k_bbl_sed):0.202E-08; w_sed_bl(cm/yr):0.341E+00; w_sed_inj(cm/yr):0.341E+00;sink_of_POML:0.223E-01
 i_day:      86 model_year:   1; julianday:  87; dVV(k_bbl_sed):0.202E-08; w_sed_bl(cm/yr):0.341E+00; w_sed_inj(cm/yr):0.341E+00;sink_of_POML:0.223E-01
 i_day:      87 model_year:   1; julianday:  88; dVV(k_bbl_sed):0.202E-08; w_sed_bl(cm/yr):0.341E+00; w_sed_inj(cm/yr):0.341E+00;sink_of_POML:0.223E-01
 i_day:      88 model_year:   1; julianday:  89; dVV(k_bbl_sed):0.202E-08; w_sed_bl(cm/yr):0.341E+00; w_sed_inj(cm/yr):0.341E+00;sink_of_POML:0.223E-01
 i_day:      89 model_year:   1; julianday:  90; dVV(k_bbl_sed):0.202E-08; w_sed_bl(cm/yr):0.341E+00; w_sed_inj(cm/yr):0.341E+00;sink_of_POML:0.223E-01
 i_day:      90 model_year:   1; julianday:  91; dVV(k_bbl_sed):0.202E-08; w_sed_bl(cm/yr):0.341E+00; w_sed_inj(cm/yr):0.341E+00;sink_of_POML:0.223E-01
 i_day:      91 model_year:   1; julianday:  92; dVV(k_bbl_sed):0.202E-08; w_sed_bl(cm/yr):0.341E+00; w_sed_inj(cm/yr):0.341E+00;sink_of_POML:0.224E-01
 i_day:      92 model_year:   1; julianday:  93; dVV(k_bbl_sed):0.202E-08; w_sed_bl(cm/yr):0.341E+00; w_sed_inj(cm/yr):0.341E+00;sink_of_POML:0.224E-01
 i_day:      93 model_year:   1; julianday:  94; dVV(k_bbl_sed):0.202E-08; w_sed_bl(cm/yr):0.341E+00; w_sed_inj(cm/yr):0.341E+00;sink_of_POML:0.224E-01
 i_day:      94 model_year:   1; julianday:  95; dVV(k_bbl_sed):0.202E-08; w_sed_bl(cm/yr):0.341E+00; w_sed_inj(cm/yr):0.341E+00;sink_of_POML:0.225E-01
 i_day:      95 model_year:   1; julianday:  96; dVV(k_bbl_sed):0.202E-08; w_sed_bl(cm/yr):0.341E+00; w_sed_inj(cm/yr):0.341E+00;sink_of_POML:0.225E-01
 i_day:      96 model_year:   1; julianday:  97; dVV(k_bbl_sed):0.202E-08; w_sed_bl(cm/yr):0.341E+00; w_sed_inj(cm/yr):0.341E+00;sink_of_POML:0.226E-01
 i_day:      97 model_year:   1; julianday:  98; dVV(k_bbl_sed):0.202E-08; w_sed_bl(cm/yr):0.341E+00; w_sed_inj(cm/yr):0.341E+00;sink_of_POML:0.226E-01
